City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Saldanha,ZA,2020-02-21 06:50:58,-33.01,17.94,62.6,88,0,1.12
148,Port Lincoln,AU,2020-02-21 06:47:26,-34.73,135.87,66.47,57,85,14.05
149,Plouzane,FR,2020-02-21 06:50:59,48.38,-4.62,46.4,75,75,6.93
150,Pevek,RU,2020-02-21 06:50:59,69.7,170.31,-9.87,99,100,8.9
151,Vila Do Maio,CV,2020-02-21 06:51:00,15.13,-23.22,68.0,77,10,16.11
152,Hermanus,ZA,2020-02-21 06:51:00,-34.42,19.23,71.01,82,0,4.85
153,Mahebourg,MU,2020-02-21 06:51:00,-20.41,57.7,82.4,69,20,11.41
154,Saint Anthony,US,2020-02-21 06:48:30,45.02,-93.22,12.2,78,1,9.17
155,The Valley,AI,2020-02-21 06:51:01,18.22,-63.06,77.0,69,20,10.29
156,Vanavara,RU,2020-02-21 06:51:01,60.34,102.28,22.33,90,100,9.55
157,Cabedelo,BR,2020-02-21 06:47:14,-6.98,-34.83,75.2,100,100,4.7
158,Teya,RU,2020-02-21 06:51:02,60.38,92.63,23.47,90,95,4.83
159,Hasaki,JP,2020-02-21 06:48:36,35.73,140.83,61.0,50,20,9.17
160,Terme,TR,2020-02-21 06:51:02,41.21,36.97,44.6,93,75,3.36
161,Issia,CI,2020-02-21 06:51:02,6.49,-6.59,73.42,99,54,2.44
162,Pitimbu,BR,2020-02-21 06:51:03,-7.47,-34.81,75.2,100,100,4.7
163,Savino,RU,2020-02-21 06:47:43,56.59,41.22,33.01,93,90,4.85
164,Souillac,MU,2020-02-21 06:51:03,-20.52,57.52,82.4,69,20,11.41
165,Grindavik,IS,2020-02-21 06:51:04,63.84,-22.43,32.0,57,100,19.46
166,San Jose,US,2020-02-21 06:48:52,37.34,-121.89,57.2,58,1,3.0
167,Mendoza,AR,2020-02-21 06:51:04,-32.89,-68.83,62.6,42,75,9.17
168,Robertsport,LR,2020-02-21 06:48:04,6.75,-11.37,81.57,83,71,7.52
169,Grajau,BR,2020-02-21 06:51:05,-5.82,-46.14,69.44,98,100,1.23
170,Victoria,HK,2020-02-21 06:46:52,22.29,114.16,75.2,44,0,13.87
171,Saint George,US,2020-02-21 06:51:05,37.1,-113.58,45.0,17,1,14.99
172,Bonavista,CA,2020-02-21 06:51:05,48.65,-53.11,9.0,64,21,21.0
173,Belaya Rechka,RU,2020-02-21 06:51:06,43.44,43.53,33.8,100,90,4.47
174,Baykit,RU,2020-02-21 06:51:06,61.67,96.37,20.35,91,100,4.43
175,Sungaipenuh,ID,2020-02-21 06:51:06,-2.08,101.38,78.35,58,42,5.66
176,Faya,SA,2020-02-21 06:48:04,18.39,42.45,68.0,42,0,11.41
